Eastern,"Fu Tsui House, Wan Tsui Estate",,
Eastern,"Chak Tsui House, Wan Tsui Estate",,
Eastern,"Shing Tsui House, Wan Tsui Estate",,
Eastern,"Fook Tsui House, Wan Tsui Estate",,
Eastern,"Mei Tsui House, Wan Tsui Estate",,
Eastern,"Kwai Tsui House, Wan Tsui Estate",,
Eastern,Pak Fuk Building,,
Eastern,Bedford Gardens,,
Eastern,Bedford Garden Pak Sing Court,,
Eastern,"Pak Hee Court, Bedford Garden",,
Eastern,Aik San Mansion,,
Eastern,"Block 2, Shau Kei Wan Centre",,
Eastern,279 Shau Kei Wan Road,,
Eastern,58 Shau Kei Wan Road,,
Eastern,Mido Apartment,,
Eastern,Serene Court,,
Eastern,"Tsui Luk House, Tsui Lok Estate",,
Eastern,"Tsui Shou House, Tsui Wan Estate",,
Eastern,"Tsui Ning House, Tsui Wan Estate",,
Eastern,"Tsui Hong House, Tsui Wan Estate",,
Eastern,"Tsui Fuk House, Tsui Wan Estate",,
Eastern,"Yiu Fu House, Yiu Tung Estate",,
Eastern,"Yiu Cheong House, Yiu Tung Estate",,
Eastern,"Yiu Fook House, Yiu Tung Estate",,
Eastern,Luen Wo Apartments,,
Eastern,"Hing Hong House, Hing Tung Estate",,
Eastern,"Hing Cho House, Hing Tung Estate",,
Eastern,"Hing Fung House, Hing Tung Estate",,
Eastern,"Man Fu House, Hing Man Estate",,
Eastern,"Man Chak House, Hing Man Estate",,
Eastern,"Man Yat House, Hing Man Estate",,
Eastern,Hing Hon Building,,
Eastern,"Ning Hing House, Hing Wah Estate",,
Eastern,"Chin Hing House, Hing Wah Estate",,
Eastern,"May Wah House, Hing Wah Estate",,
Eastern,"Yu Hing House, Hing Wah Estate",,
Eastern,294 King's Road,,
Eastern,"Tung Po Building, 483-497 King's Road",,
Eastern,"Yan Wing House, Yan Tsui Court",,
Eastern,"Block A, Wah Hoi Mansion",,
Eastern,Wah Tai Mansion,,
Eastern,"Tower 6, Island Resort",,
Eastern,"Tower 9, Island Resort",,
Eastern,156 Sai Wan Ho Street,,
Eastern,193 Sai Wan Ho Street,,
Eastern,Golden Mansion,,
Eastern,3A A Kung Ngam Road,,
Eastern,Metro Hermitage,,
Eastern,Tsing Wan Building,,
Eastern,Heung Yuen Gardens,,
Eastern,"On Chak Mansion, Lei King Wan",,
Eastern,Lido Apartments,,
Islands,Sheung Ling Pei,,
Islands,Ha Ling Pei,,
Islands,43 Chung Hing Street,,
Islands,38 Pak She Street,,
Islands,Nam Chung Village,,
Islands,Nam Wan San Tsuen,,
Islands,Nam She Tong,,
Islands,4 Hi Shi Road,,
Islands,Hang Mei,,
Islands,Peng Chau Wing On Street,,
Islands,79 Peng Chau Wing On Street,,
Islands,Peng Chau Wing Hing Street,,
Islands,Peng Lai Court,,
Islands,Tong Fuk Village,,
Islands,Pa Mei Village,,
Islands,Tai Tei Tong,,
Islands,Tai Peng Village,,
Islands,Tai San Back Street,,
Islands,Tai San Street,,
Islands,Tai Tsoi Yuen Garden,,
Islands,Tin Lee Court,,
Islands,On Wing Centre,,
Islands,"Block 11, On Wing Centre",,
Islands,"Tung Po House, Fu Tung Estate",,
Islands,"Tung Shing House, Fu Tung Estate",,
Islands,Po Wah Yuen,,
Islands,Man Wah San Tsuen,,
Islands,"Tower 6, The Visionary",,
Islands,"Tower 8, The Visionary",,
Islands,"Tower 2, Monterey Cove, Phase 1, Caribbean Coast",,
Islands,"Tower 6, Albany Cove, Phase 2, Caribbean Coast",,
Islands,"Tower 7, Albany Cove, Phase 2, Caribbean Coast",,
Islands,"Tower 10, Carmel Cove, Phase 3, Caribbean Coast",,
Islands,"Tower 11, Carmel Cove, Phase 3, Caribbean Coast",,
Islands,"Tower 15, Crystal Cove, Phase 4, Caribbean Coast",,
Islands,"Tower 16, Crystal Cove, Phase 4, Caribbean Coast",,
Islands,Tung Loi Court,,
Islands,"Block 6, Tung Chung Crescent",,
Islands,Tung Chung Catholic School,,
Islands,"Tower 2A, Century Link",,
Islands,38E Mui Wo Chung Hau Street,,
Islands,Mui Wo Kau Tsuen,,
Islands,Mui Wo Rural Committee Road,,
Islands,Yung Shue Long New Village,,
Islands,Yung Shue Wan Back Street,,
Islands,15 Wing Kwong Street,,
Islands,Sha Po New Village,,
Islands,Sha Po Old Village,,
Islands,Hoi Yuet Building,,
Islands,"Mun Wo House, Mun Tung Estate",,
Islands,"Mun Hong House, Mun Tung Estate",,
Islands,"Mun Tai House, Mun Tung Estate",,
Islands,"Mun Shun House, Mun Tung Estate",,
Islands,Ngau Au Village,,
Islands,Tin Liu New Village,,
Islands,Shek Mun Kap,,
Islands,Shek Mun Kap Village,,
Islands,Nim Po Tsuen,,
Islands,Nim Shue Wan Village,,
Islands,Wo Tin,,
Islands,Wo Tin Village,,
Islands,7 Sok Kwu Wan First Street,,
Islands,Lai Chi Yuen,,
Islands,Man Hing Terrace,,
Islands,"Block 5, Coastal Skyline",,
Islands,"Block 6, Coastal Skyline",,
Islands,"La Rossa A, Coastal Skyline",,
Islands,"Heung Tung House, Yu Tung Court",,
Islands,"Kai Tung House, Yu Tung Court",,
Islands,"Hei Tung House, Yu Tung Court",,
Islands,"Sun Tung House, Yu Tung Court",,
Islands,"Hor Tung House, Yu Tung Court",,
Islands,"Yu Yuet House, Yu Tai Court",,
Islands,"Yu Ying House, Yu Tai Court",,
Islands,Pui O San Wai Tsuen,,
Islands,Pui O Lo Wai Tsuen,,
Islands,Chek Lap Kok New Village,,
Islands,"Ying Hei House, Ying Tung Estate",,
Islands,"Ying Yuet House, Ying Tung Estate",,
Islands,"Ying Fook House, Ying Tung Estate",,
Islands,"Ying Chui House, Ying Tung Estate",,
Islands,"Heung Yat House, Yat Tung Estate",,
Islands,"Shun Yat House, Yat Tung Estate",,
Islands,"Kit Yat House, Yat Tung Estate",,
Islands,"Kan Yat House, Yat Tung Estate",,
Islands,"Sin Yat House, Yat Tung Estate",,
Islands,"Po Yat House, Yat Tung Estate",,
Islands,"Kui Yat House, Yat Tung Estate",,
Islands,"Ping Yat House, Yat Tung Estate",,
Islands,"Hong Yat House, Yat Tung Estate",,
Islands,"Tak Yat House, Yat Tung Estate",,
Islands,"Yuet Yat House, Yat Tung Estate",,
Islands,"Ching Yat House, Yat Tung Estate",,
Islands,"Mun Yat House, Yat Tung Estate",,
Islands,"Yu Yat House, Yat Tung Estate",,
Islands,"Sui Yat House, Yat Tung Estate",,
Islands,"Luk Yat House, Yat Tung Estate",,
Islands,"Fuk Yat House, Yat Tung Estate",,
Islands,"Mei Yat House, Yat Tung Estate",,
Islands,"Chui Yat House, Yat Tung Estate",,
Islands,"Chi Yat House, Yat Tung Estate",,
Islands,"Chau Yat House, Yat Tung Estate",,
Islands,"Him Yat House, Yat Tung Estate",,
Islands,"Ying Yat House, Yat Tung Estate",,
Islands,"Yung Yat House, Yat Tung Estate",,
Islands,Gold Lake Garden,,
Islands,"Block 3, Golden Dragon Garden",,
Islands,"Block 5-8, Silver View Centre",,
Islands,"Block 7, Silver View Centre",,
Islands,"Ngan Yuk House, Ngan Ho Court",,
Islands,"Ngan Yat House, Ngan Wan Estate",,
Islands,"Ngan Yuet House, Ngan Wan Estate",,
Islands,Ngan Wai Court,,
Islands,"Cheung Chi House, Cheung Kwai Estate",,
Islands,"Leung Chak House, Nga Ning Court",,
Islands,"Ho Chak House, Nga Ning Court",,
Islands,Greenburg Court,,
Islands,"Greenish Court, Greenvale Village",,
Islands,"Greenbelt Court, Greenvale Village",,
Islands,Ma Wan Chung,,
Islands,Ko Shan Tsuen,,
Islands,Luk Tei Tong,,
Islands,Wong Ka Wai,,
Islands,Lung Tseng Tau,,
Islands,Lung Tseng Tau Village,,
Islands,San Tau Village,,
Kowloon City,Harbour Plaza 8 Degrees,,
Kowloon City,"Tower 2, One Homantin",,
Kowloon City,"Tower 7, One Homantin",,
Kowloon City,The Avery,,
Kowloon City,Chung Hwa Building,,
Kowloon City,Kowlon Chamber of Commerce Building,,
Kowloon City,"King Man House, Ho Man Tin Estate",,
Kowloon City,"Yan Man House, Ho Man Tin Estate",,
Kowloon City,"Yee Man House, Ho Man Tin Estate",,
Kowloon City,"Yat Man House, Ho Man Tin Estate",,
Kowloon City,"Sik Man House, Ho Man Tin Estate",,
Kowloon City,"Choi Man House, Ho Man Tin Estate",,
Kowloon City,"Nga Man House, Ho Man Tin Estate",,
Kowloon City,"Man Yin House, Chun Man Court",,
Kowloon City,"Man Oi House, Chun Man Court",,
Kowloon City,"Man Fuk House, Chun Man Court",,
Kowloon City,"Man Hei House, Chun Man Court",,
Kowloon City,"Man Lan House, Chun Man Court",,
Kowloon City,"Hang Chien Court, Wyler Gardens",,
Kowloon City,"Chong Chien Court, Wyler Gardens",,
Kowloon City,Kiu Yu Mansion,,
Kowloon City,Siu Fung Court,,
Kowloon City,Chuen Fat Building,,
Kowloon City,Park View Building,,
Kowloon City,"Kwun Wing House, Kwun Tak Court",,
Kowloon City,"Kwun Shing House, Kwun Tak Court",,
Kowloon City,Kwun Hei Court,,
Kowloon City,Cambridge Court,,
Kowloon City,27-27A Pak Tai Street,,
Kowloon City,27C Pak Tai Street,,
Kowloon City,"Block 4, Royal Peninsula",,
Kowloon City,Tung Shun Hing Building,,
Kowloon City,The Vantage,,
Kowloon City,"Hong Ching House, Kai Ching Estate",,
